CustomerID,Total_Revenue,Total_Orders,Recency_Days,RFM_Score,Segment
13047,3237.54,10,31,455,Loyal Customers
13048,1835.91,4,13,444,Loyal Customers
13049,656.6800000000001,2,63,323,Others
13050,5836.86,17,14,455,Loyal Customers
13052,348.15000000000003,1,211,112,Lost
13055,1214.41,3,77,234,Others
13058,271.4,3,24,432,Others
13059,183.4,1,249,111,Lost
13060,307.53,1,253,112,Lost
13061,248.61,1,71,311,Others
13062,346.98,1,190,112,Lost
13064,1119.49,4,12,544,Loyal Customers
13065,205.86,1,372,111,Lost
13066,470.8,2,23,422,Potential Loyalist
13067,115.46000000000001,1,81,211,Lost
13068,344.0,2,9,522,Potential Loyalist
13069,4436.12,24,0,555,Champions
13070,228.8,1,191,111,Lost
13072,177.15,1,266,111,Lost
13075,919.61,1,129,213,Lost
13077,729.27,4,0,543,Loyal Customers
13078,12627.94,26,2,555,Champions
13079,220.10000000000002,5,3,541,Loyal Customers
13080,58.08,1,178,211,Lost
13081,28337.38,11,11,555,Champions
13082,3613.63,9,125,255,At Risk
13083,303.75,2,3,522,Potential Loyalist
13085,416.08000000000004,2,157,222,Lost
13089,58825.83,97,2,555,Champions
13090,8910.82,14,8,555,Champions
13091,345.82,1,27,412,Potential Loyalist
13092,477.83,5,70,342,Others
13093,7832.47,8,275,155,At Risk
13094,1927.3200000000002,12,20,454,Loyal Customers
13095,74.39999999999999,1,70,311,Others
13097,6010.42,10,32,455,Loyal Customers
13098,28882.44,28,0,555,Champions
13099,207.35999999999999,1,98,211,Lost
13101,101.19,1,233,111,Lost
13102,6424.09,24,0,555,Champions
13103,243.94,1,39,311,Others
13104,1098.48,6,2,554,Loyal Customers
13106,76.5,1,132,211,Lost
13107,1531.6200000000001,4,43,344,Others
13108,350.06,1,372,112,Lost
13109,786.54,2,59,323,Others
13110,1488.67,7,30,454,Loyal Customers
13113,12245.96,24,0,555,Champions
13115,2294.78,4,11,545,Loyal Customers
13116,501.14,1,137,213,Lost
13117,984.91,8,21,454,Loyal Customers
13118,1197.81,5,19,444,Loyal Customers
13120,30.599999999999998,1,238,111,Lost
13121,283.73,1,268,112,Lost
13122,922.39,2,93,223,Lost
13124,3866.33,3,89,235,Others
13126,2099.64,8,4,555,Champions
13127,259.17,1,77,212,Lost
13130,64.0,1,93,211,Lost
13131,1073.3,3,22,434,Others
13132,77.3,1,261,111,Lost
13133,109.80000000000001,2,273,121,Lost
13134,1793.58,4,85,244,At Risk
13135,3096.0,1,196,115,Lost
13136,2607.6099999999997,5,55,345,Others
13137,3650.41,8,10,555,Champions
13138,962.39,6,21,454,Loyal Customers
13139,5064.94,7,15,455,Loyal Customers
13140,423.72,3,107,232,Others
13141,2388.75,5,84,245,At Risk
13142,307.09,1,18,412,Potential Loyalist
13144,110.95,1,332,111,Lost
13145,618.52,4,39,343,Others
13146,228.91,1,25,411,Potential Loyalist
13147,712.8000000000001,4,9,543,Loyal Customers
13148,3707.12,12,28,455,Loyal Customers
13149,1676.06,4,13,444,Loyal Customers
13151,1257.8700000000001,1,295,114,Lost
13153,486.22,1,5,512,Potential Loyalist
13155,971.76,4,32,444,Loyal Customers
13157,1741.22,4,48,344,Others
13158,1201.06,4,94,244,At Risk
13159,1437.85,4,8,544,Loyal Customers
13160,91.8,1,21,411,Potential Loyalist
13161,112.75,1,312,111,Lost
13162,1688.29,4,121,244,At Risk
13165,1021.48,2,45,324,Others
13166,417.2,1,282,112,Lost
13167,791.3299999999999,4,18,443,Loyal Customers
13168,1319.19,4,35,344,Others
13169,712.88,2,63,323,Others
13170,116.00999999999999,1,26,411,Potential Loyalist
13171,468.40999999999997,3,21,432,Others
13173,353.65,2,3,522,Potential Loyalist
13174,2817.03,3,15,435,Others
13176,492.84,1,45,313,Others
13177,282.45,1,64,312,Others
13178,5725.47,11,25,455,Loyal Customers
13182,121.18,1,44,311,Others
13183,3957.78,9,7,555,Champions
13184,1701.29,10,14,454,Loyal Customers
13185,71.4,1,267,111,Lost
13186,1575.89,3,39,334,Others
13187,236.02,1,336,111,Lost
13188,114.60000000000001,1,10,511,Potential Loyalist
13189,260.68,2,18,422,Potential Loyalist
13192,911.94,2,94,223,Lost
13193,117.88,1,60,311,Others
13194,60.7,1,135,211,Lost
13196,1797.78,4,10,544,Loyal Customers
13198,3401.24,6,9,555,Champions
13199,9817.12,38,3,555,Champions
13200,870.09,4,18,443,Loyal Customers
13203,869.46,4,9,543,Loyal Customers
13207,250.26000000000005,2,14,422,Potential Loyalist
13208,1223.9,6,58,354,Others
13209,5891.61,8,29,455,Loyal Customers
13210,353.48,1,93,212,Lost
13211,1197.42,3,9,534,Others
13212,788.08,3,19,433,Others
13213,1520.5800000000002,5,56,344,Others
13216,333.74,1,267,112,Lost
13217,533.98,3,121,233,Others
13218,62.63999999999999,1,126,211,Lost
13220,819.29,4,77,243,At Risk
13221,847.4100000000001,2,239,123,Lost
13223,163.20000000000002,2,199,121,Lost
13224,2155.95,2,59,325,Others
13225,6463.84,7,2,555,Champions
13226,108.21000000000001,1,272,111,Lost
13227,257.7,1,201,112,Lost
13228,358.0,1,80,212,Lost
13229,160.95,1,225,111,Lost
13230,2806.97,16,3,555,Champions
13232,1357.6,7,12,554,Loyal Customers
13233,605.12,2,73,223,Lost
13235,1031.07,1,211,114,Lost
13236,744.85,2,24,423,Potential Loyalist
13238,700.73,4,16,443,Loyal Customers
13239,329.56,1,261,112,Lost
13240,663.65,4,95,243,At Risk
13242,270.4,3,111,232,Others
13243,600.07,1,202,113,Lost
13244,121.74000000000001,1,92,211,Lost
13245,430.5,1,50,312,Others
13246,1987.3,6,17,454,Loyal Customers
13247,501.12,4,17,443,Loyal Customers
13248,465.67999999999995,2,124,222,Lost
13249,711.4100000000001,3,91,233,Others
13253,1030.4,2,156,224,Lost
13255,399.51,2,8,522,Potential Loyalist
13258,698.58,3,11,533,Others
13259,292.32,1,61,312,Others
13260,557.62,1,60,313,Others
13261,944.1,2,268,124,Lost
13262,200.29,1,262,111,Lost
13263,7454.07,35,0,555,Champions
13265,2107.6600000000003,5,52,345,Others
13266,3834.26,12,10,555,Champions
13267,4521.49,19,2,555,Champions
13268,3214.69,11,17,455,Loyal Customers
13269,5346.23,15,0,555,Champions
13270,590.0,1,365,113,Lost
13271,217.38,1,36,311,Others
13272,276.56,2,30,422,Potential Loyalist
13273,138.98,1,112,211,Lost
13276,590.9300000000001,2,63,323,Others
13277,258.4,4,15,442,Loyal Customers
13278,542.73,1,40,313,Others
13279,137.75,1,77,211,Lost
13280,814.86,3,121,233,Others
13282,1132.14,3,17,434,Others
13283,93.66,2,59,321,Others
13284,201.19,1,330,111,Lost
13285,2709.12,4,22,445,Loyal Customers
13291,361.11,1,155,212,Lost
13292,578.94,2,38,323,Others
13294,873.74,2,189,123,Lost
13295,201.20000000000002,1,359,111,Lost
13296,87.4,1,136,211,Lost
13297,2089.85,4,7,545,Loyal Customers
13298,360.0,1,0,512,Potential Loyalist
13299,142.5,1,267,111,Lost
13300,371.89,1,168,212,Lost
13301,618.09,4,103,243,At Risk
13302,63.75,1,154,211,Lost
13304,300.42,1,350,112,Lost
13305,2000.86,10,3,554,Loyal Customers
13307,15.0,1,119,211,Lost
